age,job,marital,education,balance,housing,loan,day,month
41,blue-collar,married,primary,143,yes,yes,2,jun
36,services,married,primary,0,yes,no,2,jun
32,technician,married,secondary,696,yes,no,2,jun
35,services,married,secondary,152,yes,no,2,jun
36,management,single,tertiary,-78,yes,no,2,jun
35,management,married,tertiary,867,yes,no,2,jun
30,blue-collar,single,secondary,953,yes,no,2,jun
42,blue-collar,married,secondary,443,yes,no,2,jun
42,technician,single,secondary,-1129,yes,no,2,jun
32,blue-collar,married,primary,415,yes,no,2,jun
29,blue-collar,single,secondary,260,yes,no,2,jun
44,management,divorced,tertiary,-411,yes,no,2,jun
32,technician,single,secondary,1279,yes,no,3,jun
31,unemployed,married,secondary,86,yes,yes,3,jun
40,self-employed,married,secondary,-754,yes,yes,3,jun
43,entrepreneur,married,secondary,0,no,no,3,jun
27,management,single,secondary,178,yes,no,3,jun
37,services,single,secondary,278,yes,no,3,jun
23,services,single,secondary,425,yes,no,3,jun
25,management,married,primary,168,yes,no,3,jun
26,blue-collar,single,secondary,-36,yes,no,3,jun
47,blue-collar,divorced,primary,126,yes,no,3,jun
35,admin.,married,secondary,-87,yes,no,3,jun
32,technician,single,tertiary,6281,yes,no,3,jun
45,management,divorced,secondary,644,yes,no,4,jun
30,admin.,divorced,secondary,377,yes,no,4,jun
29,services,single,secondary,-271,yes,no,4,jun
38,blue-collar,married,primary,5839,yes,no,4,jun
23,blue-collar,single,secondary,492,yes,no,4,jun
27,management,single,tertiary,99,yes,no,4,jun
27,management,single,tertiary,-713,yes,no,4,jun
29,services,single,secondary,32,yes,no,4,jun
30,self-employed,married,tertiary,543,yes,yes,4,jun
36,blue-collar,married,primary,403,yes,no,4,jun
35,admin.,divorced,secondary,437,yes,no,4,jun
36,blue-collar,married,secondary,1772,no,no,5,jun
59,retired,divorced,primary,-88,yes,no,5,jun
47,entrepreneur,married,secondary,0,no,no,5,jun
58,entrepreneur,married,tertiary,853,no,no,5,jun
37,management,single,tertiary,240,no,no,5,jun
46,admin.,single,secondary,849,yes,no,5,jun
43,blue-collar,single,secondary,318,yes,no,5,jun
27,management,single,tertiary,703,yes,no,5,jun
38,services,divorced,secondary,61,no,no,5,jun
53,housemaid,married,primary,104,no,yes,5,jun
47,blue-collar,married,secondary,1996,no,no,5,jun
56,housemaid,divorced,primary,1238,no,no,5,jun
41,housemaid,married,secondary,879,no,no,5,jun
29,self-employed,married,secondary,425,yes,no,5,jun
50,technician,married,secondary,416,yes,no,5,jun
45,blue-collar,divorced,primary,844,no,no,5,jun
35,blue-collar,married,secondary,860,yes,no,5,jun
26,technician,single,secondary,639,yes,no,6,jun
26,admin.,married,secondary,710,yes,yes,6,jun
37,blue-collar,married,unknown,1508,no,yes,6,jun
30,admin.,single,secondary,223,yes,no,6,jun
38,management,single,tertiary,619,yes,no,6,jun
37,services,divorced,secondary,319,yes,no,6,jun
53,technician,married,secondary,480,no,no,6,jun
29,blue-collar,single,primary,213,yes,no,6,jun
35,management,single,tertiary,68,no,no,6,jun
28,blue-collar,married,secondary,2788,yes,no,6,jun
55,blue-collar,married,unknown,7561,no,no,6,jun
49,management,divorced,secondary,-46,yes,no,9,jun
50,services,married,secondary,1595,no,no,9,jun
43,management,single,tertiary,1046,no,no,9,jun
58,self-employed,divorced,tertiary,1382,no,no,9,jun
38,technician,married,primary,217,yes,no,9,jun
48,blue-collar,divorced,primary,183,no,no,9,jun
59,management,married,secondary,1321,no,no,9,jun
58,blue-collar,married,secondary,25,no,no,9,jun
36,self-employed,single,tertiary,4844,no,no,9,jun
42,entrepreneur,married,tertiary,5345,no,no,11,jun
41,admin.,single,secondary,812,no,yes,11,jun
42,admin.,married,secondary,105,no,no,11,jun
39,management,married,tertiary,-190,no,yes,11,jun
57,housemaid,married,primary,625,no,yes,11,jun
52,retired,married,unknown,293,no,no,11,jun
59,retired,married,unknown,1033,no,no,11,jun
56,blue-collar,married,secondary,1210,no,no,11,jun
49,management,married,tertiary,64,no,no,11,jun
35,blue-collar,divorced,unknown,164,no,no,11,jun
36,unemployed,married,secondary,1766,no,no,11,jun
40,admin.,single,tertiary,1248,no,no,11,jun
55,blue-collar,married,secondary,0,no,no,12,jun
58,admin.,married,secondary,826,no,no,12,jun
39,self-employed,married,tertiary,2630,no,no,12,jun
47,housemaid,single,tertiary,3727,no,no,12,jun
40,management,married,secondary,406,yes,no,12,jun
35,blue-collar,married,tertiary,2999,no,no,12,jun
48,blue-collar,married,secondary,1000,yes,no,12,jun
48,management,divorced,tertiary,503,no,yes,12,jun
24,blue-collar,single,secondary,-203,yes,no,12,jun
49,blue-collar,married,primary,361,yes,no,16,jun
36,blue-collar,married,secondary,274,yes,no,16,jun
52,retired,divorced,tertiary,3687,yes,yes,16,jun
42,entrepreneur,single,unknown,323,no,no,16,jun
36,services,married,secondary,981,no,no,16,jun
36,blue-collar,divorced,secondary,638,yes,no,16,jun
48,unemployed,single,tertiary,3229,no,no,16,jun
51,management,single,secondary,1610,yes,no,16,jun
51,blue-collar,married,secondary,33,no,yes,16,jun
46,technician,married,secondary,536,yes,no,16,jun
37,management,married,tertiary,0,no,no,16,jun
36,entrepreneur,married,tertiary,3057,no,no,16,jun
47,management,married,secondary,2892,no,no,17,jun
40,technician,divorced,tertiary,0,no,no,17,jun
38,student,single,tertiary,3316,no,no,17,jun
40,management,married,secondary,106,no,no,17,jun
39,blue-collar,married,primary,2303,yes,no,17,jun
60,management,married,tertiary,3301,no,no,17,jun
39,self-employed,single,tertiary,426,no,no,18,jun
51,services,divorced,secondary,9,no,no,18,jun
27,admin.,married,secondary,-97,yes,no,18,jun
41,management,single,tertiary,11008,no,no,18,jun
42,blue-collar,single,primary,4930,no,no,18,jun
41,entrepreneur,married,secondary,707,no,no,18,jun
33,technician,married,secondary,4,yes,yes,18,jun
46,admin.,married,secondary,126,no,no,18,jun
31,blue-collar,married,secondary,671,yes,no,18,jun
41,blue-collar,married,primary,219,no,yes,18,jun
41,blue-collar,divorced,secondary,3622,no,no,19,jun
55,retired,divorced,secondary,1580,no,yes,19,jun
53,technician,married,secondary,1319,no,no,19,jun
55,housemaid,married,primary,2152,no,no,19,jun
39,services,married,secondary,2843,yes,no,19,jun
40,entrepreneur,married,tertiary,0,no,no,19,jun
59,retired,married,primary,1115,no,no,19,jun
42,blue-collar,single,secondary,625,no,no,19,jun
41,blue-collar,married,primary,246,no,no,19,jun
27,blue-collar,married,secondary,61,yes,no,19,jun
25,blue-collar,single,secondary,-191,yes,no,19,jun
43,unemployed,married,primary,519,no,no,20,jun
44,services,married,secondary,522,no,yes,20,jun
26,blue-collar,single,secondary,-46,yes,no,20,jun
52,retired,married,tertiary,2269,no,no,20,jun
54,services,married,unknown,386,no,yes,20,jun
56,management,married,tertiary,0,no,yes,20,jun
57,management,married,tertiary,9103,no,yes,20,jun
29,blue-collar,single,secondary,908,yes,no,20,jun
47,technician,married,tertiary,1694,no,yes,20,jun
57,management,married,tertiary,-92,yes,yes,20,jun
40,blue-collar,married,secondary,188,yes,yes,20,jun
46,services,divorced,secondary,0,no,no,20,jun
43,blue-collar,single,secondary,740,yes,no,20,jun
45,management,married,tertiary,655,no,no,20,jun
24,management,married,secondary,867,yes,no,20,jun
40,blue-collar,married,secondary,1009,yes,yes,20,jun
38,services,divorced,unknown,6360,no,no,20,jun
36,unemployed,married,tertiary,4145,no,no,20,jun
27,blue-collar,single,secondary,-27,no,no,23,jun
26,admin.,single,primary,-122,yes,no,23,jun
43,management,married,tertiary,149,yes,no,23,jun
25,blue-collar,single,primary,52,yes,no,24,jun
27,blue-collar,married,tertiary,335,yes,no,26,jun
30,technician,married,tertiary,526,yes,yes,26,jun
28,admin.,single,secondary,-7,no,yes,26,jun
27,blue-collar,married,primary,-413,no,yes,27,jun
32,admin.,divorced,secondary,-241,no,yes,27,jun
41,blue-collar,single,secondary,75,yes,no,1,jul
37,technician,single,tertiary,0,no,no,1,jul
27,technician,single,secondary,158,no,no,1,jul
29,services,single,secondary,84,no,yes,3,jul
33,services,married,secondary,114,no,yes,3,jul
36,technician,married,primary,0,no,no,4,jul
28,blue-collar,single,secondary,-127,yes,no,4,jul
55,blue-collar,married,secondary,49,yes,no,7,jul
51,technician,married,secondary,216,no,no,7,jul
39,technician,single,secondary,506,yes,no,7,jul
42,blue-collar,divorced,primary,213,yes,no,7,jul
33,services,single,secondary,170,no,no,7,jul
36,entrepreneur,divorced,tertiary,776,no,yes,7,jul
45,technician,married,secondary,879,no,no,7,jul
37,self-employed,married,secondary,1633,no,no,7,jul
46,unemployed,married,secondary,926,no,no,7,jul
32,self-employed,single,tertiary,2559,no,no,7,jul
28,technician,single,secondary,909,no,yes,7,jul
45,admin.,divorced,secondary,-176,no,yes,7,jul
41,blue-collar,single,secondary,1085,yes,yes,7,jul
59,blue-collar,divorced,primary,1265,no,yes,7,jul
47,technician,single,secondary,-239,yes,yes,7,jul
31,blue-collar,single,secondary,726,no,no,7,jul
31,management,single,tertiary,296,no,yes,8,jul
33,entrepreneur,married,secondary,-627,yes,yes,8,jul
52,entrepreneur,married,tertiary,-468,no,no,8,jul
26,self-employed,single,secondary,551,no,no,8,jul
25,technician,single,secondary,0,no,yes,8,jul
25,blue-collar,married,secondary,101,no,yes,8,jul
28,blue-collar,single,secondary,517,no,yes,8,jul
33,entrepreneur,divorced,tertiary,37,no,yes,8,jul
45,management,divorced,tertiary,854,no,yes,8,jul
36,services,married,secondary,30,no,yes,8,jul
26,blue-collar,single,secondary,81,no,yes,8,jul
38,technician,married,secondary,0,no,no,8,jul
56,blue-collar,single,secondary,663,no,yes,8,jul
26,admin.,single,secondary,102,no,yes,8,jul
26,technician,married,secondary,370,no,yes,8,jul
25,blue-collar,single,secondary,189,no,yes,8,jul
26,unemployed,single,secondary,111,no,no,9,jul
40,blue-collar,married,primary,665,yes,no,9,jul
37,admin.,married,primary,214,yes,no,9,jul
43,blue-collar,single,primary,0,no,no,9,jul
41,services,divorced,tertiary,1583,yes,no,9,jul
49,blue-collar,married,secondary,0,no,yes,9,jul
29,admin.,divorced,tertiary,0,no,yes,9,jul
39,services,divorced,secondary,687,yes,no,9,jul
38,management,married,tertiary,327,yes,yes,9,jul
26,technician,married,secondary,-119,no,yes,9,jul
32,management,married,tertiary,794,yes,yes,9,jul
33,blue-collar,married,primary,-191,yes,yes,9,jul
31,management,single,tertiary,409,no,yes,9,jul
49,blue-collar,married,primary,3,no,yes,9,jul
27,unemployed,single,primary,9,no,yes,9,jul
30,blue-collar,single,secondary,155,yes,yes,9,jul
35,blue-collar,married,secondary,1330,no,no,10,jul
26,blue-collar,single,secondary,-29,yes,no,10,jul
45,entrepreneur,married,unknown,3133,yes,yes,10,jul
34,admin.,married,secondary,-33,yes,yes,10,jul
28,admin.,single,secondary,-170,no,yes,10,jul
25,blue-collar,single,secondary,1243,no,yes,10,jul
30,blue-collar,single,secondary,1598,yes,no,10,jul
30,services,married,secondary,5,no,yes,10,jul
47,services,married,secondary,367,yes,no,10,jul
57,admin.,divorced,secondary,658,no,no,10,jul
38,management,married,tertiary,1722,yes,no,10,jul
54,technician,married,secondary,-315,no,yes,10,jul
25,blue-collar,single,primary,2483,no,no,10,jul
30,blue-collar,married,secondary,0,yes,yes,10,jul
26,management,single,tertiary,45,no,no,10,jul
31,student,married,primary,46,yes,no,10,jul
29,blue-collar,single,secondary,482,no,yes,10,jul
49,blue-collar,married,secondary,3728,yes,no,11,jul
60,retired,divorced,secondary,1099,no,no,11,jul
60,management,married,tertiary,2222,yes,no,11,jul
29,management,single,tertiary,983,yes,no,11,jul
55,management,divorced,secondary,204,yes,no,11,jul
44,admin.,married,secondary,1074,yes,no,11,jul
47,technician,married,secondary,3466,yes,no,11,jul
35,admin.,married,secondary,-203,yes,no,11,jul
35,entrepreneur,married,secondary,2436,no,yes,14,jul
38,technician,married,secondary,976,yes,no,14,jul
34,entrepreneur,married,tertiary,146,yes,no,14,jul
50,technician,married,secondary,156,no,yes,14,jul
43,admin.,married,tertiary,189,yes,no,14,jul
44,admin.,divorced,secondary,163,yes,no,14,jul
51,services,divorced,secondary,242,no,yes,14,jul
31,technician,married,secondary,1173,yes,no,14,jul
39,technician,married,tertiary,0,yes,no,14,jul
59,management,married,tertiary,296,no,yes,15,jul
25,services,single,secondary,333,no,yes,15,jul
58,management,married,tertiary,3864,yes,no,15,jul
30,entrepreneur,married,primary,2686,yes,no,15,jul
34,blue-collar,single,primary,-109,yes,no,15,jul
51,services,divorced,secondary,65,no,yes,15,jul
60,retired,married,secondary,597,no,no,15,jul
51,entrepreneur,married,secondary,-799,no,yes,15,jul
37,management,divorced,tertiary,1775,no,no,15,jul
30,blue-collar,single,primary,0,no,no,15,jul
46,entrepreneur,divorced,secondary,-563,no,yes,15,jul
29,student,single,tertiary,5,no,no,15,jul
27,entrepreneur,married,tertiary,139,no,no,15,jul
28,management,single,tertiary,0,yes,no,16,jul
34,blue-collar,single,secondary,855,yes,no,16,jul
29,blue-collar,single,unknown,694,yes,yes,16,jul
27,management,single,tertiary,151,yes,no,16,jul
26,technician,single,secondary,354,no,no,16,jul
36,management,married,tertiary,673,yes,no,16,jul
44,blue-collar,married,primary,1265,yes,no,16,jul
39,blue-collar,married,tertiary,597,no,no,16,jul
30,technician,married,secondary,-393,yes,yes,16,jul
31,unemployed,divorced,tertiary,256,yes,no,16,jul
56,blue-collar,married,primary,0,yes,no,16,jul
29,blue-collar,married,secondary,2870,yes,no,16,jul
43,blue-collar,married,secondary,184,no,yes,16,jul
32,blue-collar,married,secondary,1905,yes,no,16,jul
30,admin.,single,secondary,-36,no,no,16,jul
40,blue-collar,married,secondary,-839,yes,yes,16,jul
42,services,married,secondary,3465,yes,yes,16,jul
27,student,married,secondary,119,yes,no,16,jul
35,management,married,tertiary,36,no,yes,16,jul
35,housemaid,married,primary,113,yes,no,17,jul
32,blue-collar,single,secondary,118,yes,no,17,jul
39,technician,married,secondary,251,yes,no,17,jul
31,blue-collar,divorced,secondary,-277,yes,no,17,jul
26,services,single,secondary,-189,no,yes,17,jul
42,management,married,tertiary,4,yes,no,17,jul
27,services,single,secondary,1820,yes,no,17,jul
33,self-employed,divorced,secondary,1904,yes,no,17,jul
51,blue-collar,married,primary,201,yes,no,17,jul
33,admin.,married,secondary,0,yes,no,17,jul
30,technician,single,tertiary,178,no,no,17,jul
52,housemaid,married,primary,3798,yes,no,17,jul
42,blue-collar,divorced,primary,301,yes,no,17,jul
31,management,divorced,tertiary,294,yes,no,17,jul
27,services,married,secondary,0,yes,no,17,jul
44,blue-collar,single,secondary,292,no,yes,17,jul
40,entrepreneur,divorced,secondary,2998,yes,no,18,jul
46,housemaid,divorced,primary,2084,yes,no,18,jul
32,services,divorced,secondary,454,yes,no,18,jul
56,technician,divorced,secondary,179,no,no,18,jul
33,blue-collar,married,secondary,661,yes,no,18,jul
33,blue-collar,married,secondary,89,yes,no,18,jul
32,self-employed,married,primary,102,yes,no,18,jul
41,blue-collar,divorced,primary,138,yes,no,18,jul
31,admin.,single,secondary,622,no,no,18,jul
30,admin.,divorced,secondary,10,yes,no,18,jul
34,admin.,divorced,secondary,-251,no,no,18,jul
43,entrepreneur,married,secondary,104,yes,no,18,jul
28,blue-collar,married,secondary,173,no,no,18,jul
32,admin.,divorced,secondary,-46,no,yes,18,jul
31,blue-collar,divorced,secondary,0,yes,yes,18,jul
35,entrepreneur,single,tertiary,145,yes,no,18,jul
31,management,married,tertiary,325,yes,no,18,jul
25,services,single,secondary,2311,no,yes,21,jul
56,retired,divorced,tertiary,158,no,yes,21,jul
47,technician,married,secondary,1981,yes,no,21,jul
39,management,married,tertiary,1423,yes,no,21,jul
51,management,married,tertiary,2455,yes,no,21,jul
54,technician,divorced,secondary,859,no,yes,21,jul
58,retired,married,unknown,9004,no,no,21,jul
42,unemployed,married,unknown,970,yes,no,21,jul
56,services,married,primary,486,no,yes,21,jul
55,housemaid,married,secondary,127,yes,no,21,jul
26,blue-collar,single,primary,409,yes,no,21,jul
40,admin.,single,secondary,664,no,no,21,jul
26,technician,single,secondary,223,no,yes,21,jul
35,management,single,tertiary,-324,no,yes,21,jul
34,services,single,secondary,-30,no,no,21,jul
41,management,single,tertiary,1253,no,no,21,jul
44,management,married,primary,4758,yes,no,22,jul
33,management,single,tertiary,30,yes,no,22,jul
36,management,divorced,tertiary,81,no,yes,22,jul
38,technician,married,secondary,0,yes,no,22,jul
35,technician,married,tertiary,328,yes,no,22,jul
41,technician,single,tertiary,145,no,no,22,jul
41,management,divorced,unknown,465,yes,no,22,jul
28,blue-collar,married,secondary,751,yes,no,22,jul
26,services,married,secondary,-379,yes,yes,22,jul
39,blue-collar,single,secondary,0,no,no,22,jul
25,admin.,married,unknown,349,yes,no,22,jul
37,admin.,married,secondary,1110,yes,no,22,jul
25,management,married,secondary,2228,yes,no,23,jul
46,management,divorced,tertiary,2166,yes,no,23,jul
25,blue-collar,single,secondary,-247,yes,no,23,jul
28,technician,single,tertiary,-123,no,yes,23,jul
33,services,divorced,secondary,44,no,yes,23,jul
32,management,single,secondary,131,yes,yes,23,jul
32,blue-collar,married,secondary,476,yes,no,23,jul
47,technician,single,secondary,1101,yes,no,23,jul
50,entrepreneur,married,tertiary,-168,yes,no,23,jul
27,technician,married,secondary,-392,yes,no,23,jul
45,admin.,married,secondary,524,yes,no,23,jul
51,admin.,single,secondary,895,no,no,23,jul
36,admin.,married,secondary,212,yes,yes,23,jul
51,self-employed,married,secondary,95,yes,no,23,jul
33,services,single,tertiary,395,yes,no,23,jul
59,technician,married,secondary,135,yes,yes,23,jul
38,entrepreneur,married,tertiary,0,no,no,23,jul
40,services,married,secondary,471,yes,no,24,jul
51,blue-collar,married,primary,603,yes,no,24,jul
41,entrepreneur,single,secondary,663,no,no,24,jul
38,entrepreneur,married,secondary,593,yes,yes,24,jul
31,management,married,tertiary,1224,yes,yes,24,jul
28,admin.,single,secondary,2,yes,no,24,jul
41,blue-collar,married,secondary,720,no,yes,24,jul
33,management,divorced,tertiary,990,yes,no,24,jul
25,student,single,secondary,1747,yes,no,24,jul
45,admin.,divorced,secondary,59,yes,no,24,jul
